MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20260714,46102,Oglala Lakota County,SD,0.00,100.00,100.00,97.83,18.48,0.00,2026-07-14,2026-07-20,1
20260707,46102,Oglala Lakota County,SD,0.00,100.00,100.00,97.83,18.48,0.00,2026-07-07,2026-07-13,1
20260630,46102,Oglala Lakota County,SD,0.00,100.00,100.00,97.83,18.48,0.00,2026-06-30,2026-07-06,1
20260623,46102,Oglala Lakota County,SD,0.00,100.00,100.00,97.83,34.58,0.00,2026-06-23,2026-06-29,1
20260616,46102,Oglala Lakota County,SD,0.00,100.00,100.00,97.83,34.58,0.00,2026-06-16,2026-06-22,1
20260609,46102,Oglala Lakota County,SD,0.00,100.00,100.00,97.83,34.58,0.00,2026-06-09,2026-06-15,1
20260602,46102,Oglala Lakota County,SD,0.00,100.00,100.00,97.83,34.58,0.00,2026-06-02,2026-06-08,1
20260526,46102,Oglala Lakota County,SD,0.00,100.00,100.00,100.00,97.57,0.00,2026-05-26,2026-06-01,1
20260519,46102,Oglala Lakota County,SD,0.00,100.00,100.00,100.00,97.57,0.00,2026-05-19,2026-05-25,1
20260512,46102,Oglala Lakota County,SD,0.00,100.00,100.00,100.00,97.57,0.00,2026-05-12,2026-05-18,1
20260505,46102,Oglala Lakota County,SD,0.00,100.00,100.00,100.00,82.63,0.00,2026-05-05,2026-05-11,1
20260428,46102,Oglala Lakota County,SD,0.00,100.00,100.00,100.00,82.63,0.00,2026-04-28,2026-05-04,1
20260421,46102,Oglala Lakota County,SD,0.00,100.00,100.00,100.00,82.63,0.00,2026-04-21,2026-04-27,1
20260414,46102,Oglala Lakota County,SD,0.00,100.00,100.00,100.00,82.63,0.00,2026-04-14,2026-04-20,1
20260407,46102,Oglala Lakota County,SD,0.00,100.00,100.00,100.00,72.26,0.00,2026-04-07,2026-04-13,1
20260331,46102,Oglala Lakota County,SD,0.00,100.00,100.00,100.00,24.62,0.00,2026-03-31,2026-04-06,1
20260324,46102,Oglala Lakota County,SD,0.00,100.00,100.00,94.10,0.00,0.00,2026-03-24,2026-03-30,1
20260317,46102,Oglala Lakota County,SD,0.00,100.00,100.00,90.37,0.00,0.00,2026-03-17,2026-03-23,1
20260310,46102,Oglala Lakota County,SD,0.00,100.00,100.00,0.00,0.00,0.00,2026-03-10,2026-03-16,1
20260303,46102,Oglala Lakota County,SD,0.00,100.00,100.00,0.00,0.00,0.00,2026-03-03,2026-03-09,1
20260224,46102,Oglala Lakota County,SD,0.00,100.00,100.00,0.00,0.00,0.00,2026-02-24,2026-03-02,1
20260217,46102,Oglala Lakota County,SD,0.00,100.00,46.19,0.00,0.00,0.00,2026-02-17,2026-02-23,1
20260210,46102,Oglala Lakota County,SD,0.00,100.00,46.19,0.00,0.00,0.00,2026-02-10,2026-02-16,1
20260203,46102,Oglala Lakota County,SD,0.00,100.00,0.00,0.00,0.00,0.00,2026-02-03,2026-02-09,1
20260127,46102,Oglala Lakota County,SD,0.00,100.00,0.00,0.00,0.00,0.00,2026-01-27,2026-02-02,1
20260120,46102,Oglala Lakota County,SD,0.27,99.73,0.00,0.00,0.00,0.00,2026-01-20,2026-01-26,1
